epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5580.45,1.3542,3.04494,1.02534,0.41719,0.5274,0.45296,0.23736,1.65576,3.23375,1.06229,0.000792125,0.000792125,0.000792125
76,5654.72,1.3759,3.03066,1.04102,0.44203,0.53055,0.47184,0.27945,1.41404,3.09421,0.99653,0.000785938,0.000785938,0.000785938
77,5729.39,1.31724,2.97088,1.01864,0.38157,0.60438,0.45257,0.27335,1.37236,3.05347,0.98337,0.00077975,0.00077975,0.00077975
78,5803.32,1.33837,2.98066,1.01492,0.38192,0.57668,0.44586,0.25189,1.51767,3.13308,1.01638,0.000773563,0.000773563,0.000773563
79,5878.64,1.33032,3.0148,1.02506,0.39036,0.58269,0.4478,0.28224,1.32082,3.05539,0.97647,0.000767375,0.000767375,0.000767375
80,5951.7,1.33317,3.04375,1.03572,0.42661,0.52077,0.45701,0.26123,1.49202,3.30231,1.01149,0.000761188,0.000761188,0.000761188
81,6027.4,1.34106,3.02426,1.03002,0.41527,0.56356,0.4714,0.25972,1.61742,3.15023,1.04064,0.000755,0.000755,0.000755
82,6102.04,1.34853,3.0349,1.02896,0.40231,0.519,0.43304,0.27139,1.38763,3.10493,0.98165,0.000748813,0.000748813,0.000748813
83,6176.34,1.33296,3.00994,1.03189,0.43238,0.51999,0.47428,0.28921,1.33817,3.08772,0.97284,0.000742625,0.000742625,0.000742625
84,6251.02,1.30354,2.97879,1.0317,0.4087,0.59592,0.45701,0.2697,1.48422,3.1383,1.01507,0.000736438,0.000736438,0.000736438
85,6325.21,1.34239,3.08929,1.03786,0.53476,0.50896,0.49298,0.29927,1.44446,3.06053,1.00719,0.00073025,0.00073025,0.00073025
86,6399.22,1.31802,2.93006,1.02301,0.47748,0.51751,0.50139,0.30668,1.32938,3.05409,0.9795,0.000724062,0.000724062,0.000724062
87,6474.03,1.33649,3.03192,1.03337,0.48336,0.54879,0.46218,0.26507,1.44461,3.12147,1.00117,0.000717875,0.000717875,0.000717875
88,6549.88,1.34167,2.99843,1.01774,0.43881,0.53703,0.49718,0.3003,1.37006,3.01562,0.98787,0.000711687,0.000711687,0.000711687
89,6624.82,1.33175,3.02351,1.03303,0.39711,0.57118,0.45851,0.26613,1.48032,3.07847,1.01156,0.0007055,0.0007055,0.0007055
90,6699.46,1.30134,2.95495,1.01001,0.45869,0.61634,0.51016,0.27899,1.53125,3.15336,1.02125,0.000699312,0.000699312,0.000699312
91,6773,1.25169,2.86628,1.01546,0.43245,0.61585,0.49329,0.30021,1.35034,3.00162,0.98116,0.000693125,0.000693125,0.000693125
92,6848.12,1.30329,2.99378,1.02482,0.41328,0.6044,0.5059,0.3128,1.3328,3.034,0.97794,0.000686937,0.000686937,0.000686937
93,6922.66,1.29321,2.9248,1.01951,0.42756,0.5664,0.49366,0.29046,1.3913,3.01636,0.9909,0.00068075,0.00068075,0.00068075
94,6997.62,1.27636,2.90335,1.0246,0.42381,0.60831,0.47861,0.2946,1.33758,3.01757,0.97433,0.000674562,0.000674562,0.000674562
95,7071.59,1.30513,3.00036,1.03657,0.44932,0.53437,0.47527,0.3018,1.35819,2.99389,0.9872,0.000668375,0.000668375,0.000668375
